animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type,like
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,3
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,8
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,2
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,5
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,4
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,2
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,8
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,2
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,3
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,9
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,8
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,6
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,5
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,4
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,5
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,2
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,9
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,9
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,3
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,6
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,7
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,7
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,8
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,5
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,0
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,7
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,7
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,2
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,6
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,2
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,0
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,6
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,5
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,8
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,2
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,8
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,8
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,7
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,2
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,4
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,0
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,9
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,9
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,9
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,8
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,8
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,2
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,8
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,7
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,0
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,7
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,3
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,7
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,6
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,6
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,4
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,5
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,8
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,8
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,7
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,2
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,2
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,4
